# phase_offset=5.000
time,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,x_ref,y_ref,z_ref,vx_ref,vy_ref,vz_ref,thrust,tx,ty,tz,omega1,omega2,omega3,omega4,pos_error_x,pos_error_y,pos_error_z,vel_error_x,vel_error_y,vel_error_z
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264870,0.000000,0.000000,0.000000,26487.001953,26487.001953,26487.001953,26487.001953,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000055,0.265173,0.000000,0.000000,0.000000,26517.302734,26517.302734,26517.302734,26517.302734,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000055
0.020000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000112,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000219,0.265470,0.000000,0.000000,0.000000,26546.980469,26546.980469,26546.980469,26546.980469,0.000000,0.000000,-0.000001,0.000000,0.000000,-0.000107
0.030000,0.000000,0.000000,0.000003,0.000000,0.000000,0.000334,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000000,0.000000,0.000490,0.265760,0.000000,0.000000,0.000000,26576.042969,26576.042969,26576.042969,26576.042969,0.000000,0.000000,-0.000002,0.000000,0.000000,-0.000156
0.040000,0.000000,0.000000,0.000008,0.000000,0.000000,0.000664,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000012,0.000000,0.000000,0.000865,0.266045,0.000000,0.000000,0.000000,26604.492188,26604.492188,26604.492188,26604.492188,0.000000,0.000000,-0.000004,0.000000,0.000000,-0.000201
0.050000,0.000000,0.000000,0.000017,0.000000,0.000000,0.001099,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000023,0.000000,0.000000,0.001343,0.266323,0.000000,0.000000,0.000000,26632.330078,26632.330078,26632.330078,26632.330078,0.000000,0.000000,-0.000006,0.000000,0.000000,-0.000244
0.060000,0.000000,0.000000,0.000030,0.000000,0.000000,0.001638,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000039,0.000000,0.000000,0.001921,0.266596,0.000000,0.000000,0.000000,26659.566406,26659.566406,26659.566406,26659.566406,0.000000,0.000000,-0.000009,0.000000,0.000000,-0.000283
0.070000,0.000000,0.000000,0.000050,0.000000,0.000000,0.002277,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000061,0.000000,0.000000,0.002597,0.266862,0.000000,0.000000,0.000000,26686.205078,26686.205078,26686.205078,26686.205078,0.000000,0.000000,-0.000011,0.000000,0.000000,-0.000320
0.080000,0.000000,0.000000,0.000076,0.000000,0.000000,0.003014,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000091,0.000000,0.000000,0.003368,0.267122,0.000000,0.000000,0.000000,26712.246094,26712.246094,26712.246094,26712.246094,0.000000,0.000000,-0.000015,0.000000,0.000000,-0.000354
0.090000,0.000000,0.000000,0.000111,0.000000,0.000000,0.003849,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000129,0.000000,0.000000,0.004234,0.267377,0.000000,0.000000,0.000000,26737.697266,26737.697266,26737.697266,26737.697266,0.000000,0.000000,-0.000018,0.000000,0.000000,-0.000385
